precision,recall,specificity,f1,balanced_accuracy,benchmark,method
0.251,0.885,0.873,0.391,0.879,1,Reference Baseline CNN (end-to-end)
0.528,0.954,0.99,0.68,0.972,2,Reference Baseline CNN (end-to-end)
0.273,0.979,0.898,0.426,0.939,3,Reference Baseline CNN (end-to-end)
0.069,0.955,0.929,0.129,0.942,4,Reference Baseline CNN (end-to-end)
0.11,0.756,0.987,0.192,0.872,5,Reference Baseline CNN (end-to-end)
0.244,0.699,0.895,0.362,0.797,1,Proposed CNN (end-to-end)
0.393,0.841,0.984,0.536,0.913,2,Proposed CNN (end-to-end)
0.15,0.987,0.781,0.26,0.884,3,Proposed CNN (end-to-end)
0.061,0.972,0.917,0.115,0.944,4,Proposed CNN (end-to-end)
0.007,0.512,0.839,0.013,0.676,5,Proposed CNN (end-to-end)
0.069,1.0,0.346,0.129,0.673,1,SVM (early features)
0.276,0.305,0.99,0.29,0.648,2,SVM (early features)
0.154,0.943,0.798,0.265,0.871,3,SVM (early features)
0.016,0.977,0.67,0.032,0.824,4,SVM (early features)
0.692,0.22,1.0,0.333,0.61,5,SVM (early features)
0.061,1.0,0.257,0.115,0.629,1,Random Forest (early features)
0.227,0.169,0.993,0.194,0.581,2,Random Forest (early features)
0.139,0.926,0.777,0.242,0.851,3,Random Forest (early features)
0.013,0.972,0.591,0.026,0.781,4,Random Forest (early features)
0.0,0.0,1.0,0.0,0.5,5,Random Forest (early features)
0.069,1.0,0.353,0.13,0.677,1,Logistic Regression (early features)
0.181,0.922,0.95,0.302,0.936,2,Logistic Regression (early features)
0.092,0.989,0.62,0.169,0.805,3,Logistic Regression (early features)
0.013,0.994,0.572,0.025,0.783,4,Logistic Regression (early features)
0.375,0.073,1.0,0.122,0.536,5,Logistic Regression (early features)
0.106,0.996,0.593,0.191,0.794,1,SVM (late features)
0.389,0.673,0.987,0.493,0.83,2,SVM (late features)
0.142,0.988,0.767,0.248,0.878,3,SVM (late features)
0.06,0.644,0.944,0.11,0.794,4,SVM (late features)
0.056,0.927,0.967,0.106,0.947,5,SVM (late features)
0.106,0.996,0.594,0.191,0.795,1,Random Forest (late features)
0.427,0.793,0.987,0.556,0.89,2,Random Forest (late features)
0.187,0.968,0.835,0.313,0.902,3,Random Forest (late features)
0.112,0.966,0.958,0.201,0.962,4,Random Forest (late features)
0.011,0.976,0.805,0.021,0.89,5,Random Forest (late features)
0.106,1.0,0.591,0.191,0.795,1,Logistic Regression (late features)
0.397,0.829,0.985,0.537,0.907,2,Logistic Regression (late features)
0.164,0.986,0.804,0.281,0.895,3,Logistic Regression (late features)
0.214,0.91,0.981,0.346,0.946,4,Logistic Regression (late features)
0.125,0.488,0.993,0.199,0.74,5,Logistic Regression (late features)
0.106,1.0,0.594,0.192,0.797,1,"Ensemble (SVM+RF+LR, late features)"
0.404,0.833,0.985,0.544,0.909,2,"Ensemble (SVM+RF+LR, late features)"
0.162,0.985,0.801,0.278,0.893,3,"Ensemble (SVM+RF+LR, late features)"
0.175,0.927,0.976,0.295,0.951,4,"Ensemble (SVM+RF+LR, late features)"
0.088,0.854,0.981,0.159,0.917,5,"Ensemble (SVM+RF+LR, late features)"
0.102,1.0,0.577,0.186,0.788,1,SVM (combined features)
0.396,0.685,0.987,0.501,0.836,2,SVM (combined features)
0.149,0.991,0.779,0.259,0.885,3,SVM (combined features)
0.265,0.661,0.99,0.379,0.825,4,SVM (combined features)
0.122,0.902,0.986,0.214,0.944,5,SVM (combined features)
0.08,1.0,0.448,0.149,0.724,1,Random Forest (combined features)
0.395,0.799,0.985,0.529,0.892,2,Random Forest (combined features)
0.179,0.975,0.826,0.303,0.901,3,Random Forest (combined features)
0.067,0.972,0.925,0.125,0.948,4,Random Forest (combined features)
0.133,0.78,0.989,0.228,0.885,5,Random Forest (combined features)
0.101,1.0,0.568,0.183,0.784,1,Logistic Regression (combined features)
0.325,0.884,0.978,0.475,0.931,2,Logistic Regression (combined features)
0.143,0.99,0.768,0.25,0.879,3,Logistic Regression (combined features)
0.216,0.91,0.982,0.349,0.946,4,Logistic Regression (combined features)
0.237,0.659,0.995,0.348,0.827,5,Logistic Regression (combined features)
